provider_id,specialization,region
PRV-00001,psychiatry,SOUTH
PRV-00002,pediatrics,NORTHEAST
PRV-00003,neurology,SOUTH
PRV-00004,family_medicine,SOUTH
PRV-00005,psychiatry,MIDWEST
PRV-00006,family_medicine,NORTHEAST
PRV-00007,orthopedics,PACIFIC
PRV-00008,radiology,MIDWEST
PRV-00009,dermatology,WEST
PRV-00010,pediatrics,WEST
PRV-00011,anesthesiology,NORTHEAST
PRV-00012,cardiology,WEST
PRV-00013,radiology,NORTHEAST
PRV-00014,emergency_medicine,SOUTH
PRV-00015,neurology,PACIFIC
PRV-00016,orthopedics,WEST
PRV-00017,orthopedics,PACIFIC
PRV-00018,dermatology,MIDWEST
PRV-00019,pediatrics,WEST
PRV-00020,dermatology,NORTHEAST
PRV-00021,internal_medicine,SOUTH
PRV-00022,anesthesiology,MIDWEST
PRV-00023,neurology,PACIFIC
PRV-00024,radiology,NORTHEAST
PRV-00025,cardiology,SOUTH
PRV-00026,orthopedics,NORTHEAST
PRV-00027,emergency_medicine,MIDWEST
PRV-00028,orthopedics,NORTHEAST
PRV-00029,radiology,MIDWEST
PRV-00030,dermatology,SOUTH
PRV-00031,dermatology,MIDWEST
PRV-00032,family_medicine,SOUTH
PRV-00033,dermatology,PACIFIC
PRV-00034,orthopedics,MIDWEST
PRV-00035,psychiatry,SOUTH
PRV-00036,anesthesiology,PACIFIC
PRV-00037,family_medicine,SOUTH
PRV-00038,radiology,MIDWEST
PRV-00039,neurology,WEST
PRV-00040,psychiatry,PACIFIC
PRV-00041,dermatology,PACIFIC
PRV-00042,dermatology,PACIFIC
PRV-00043,emergency_medicine,NORTHEAST
PRV-00044,anesthesiology,MIDWEST
PRV-00045,anesthesiology,WEST
PRV-00046,pediatrics,NORTHEAST
PRV-00047,general_surgery,WEST
PRV-00048,anesthesiology,NORTHEAST
PRV-00049,anesthesiology,WEST
PRV-00050,anesthesiology,PACIFIC
PRV-00051,family_medicine,WEST
PRV-00052,family_medicine,WEST
PRV-00053,psychiatry,SOUTH
PRV-00054,internal_medicine,MIDWEST
PRV-00055,radiology,WEST
PRV-00056,emergency_medicine,WEST
PRV-00057,internal_medicine,NORTHEAST
PRV-00058,internal_medicine,NORTHEAST
PRV-00059,internal_medicine,PACIFIC
PRV-00060,neurology,PACIFIC
PRV-00061,radiology,SOUTH
PRV-00062,orthopedics,WEST
PRV-00063,general_surgery,SOUTH
PRV-00064,psychiatry,MIDWEST
PRV-00065,pediatrics,MIDWEST
PRV-00066,family_medicine,WEST
PRV-00067,general_surgery,WEST
PRV-00068,dermatology,MIDWEST
PRV-00069,internal_medicine,WEST
PRV-00070,psychiatry,MIDWEST
PRV-00071,pediatrics,NORTHEAST
PRV-00072,internal_medicine,MIDWEST
PRV-00073,psychiatry,NORTHEAST
PRV-00074,neurology,NORTHEAST
PRV-00075,emergency_medicine,NORTHEAST
PRV-00076,psychiatry,WEST
PRV-00077,family_medicine,WEST
PRV-00078,orthopedics,PACIFIC
PRV-00079,psychiatry,SOUTH
PRV-00080,dermatology,MIDWEST
PRV-00081,orthopedics,SOUTH
PRV-00082,neurology,NORTHEAST
PRV-00083,orthopedics,NORTHEAST
PRV-00084,internal_medicine,WEST
PRV-00085,general_surgery,WEST
PRV-00086,pediatrics,MIDWEST
PRV-00087,psychiatry,SOUTH
PRV-00088,family_medicine,NORTHEAST
PRV-00089,general_surgery,PACIFIC
PRV-00090,psychiatry,MIDWEST
PRV-00091,emergency_medicine,WEST
PRV-00092,family_medicine,NORTHEAST
PRV-00093,orthopedics,PACIFIC
PRV-00094,psychiatry,PACIFIC
PRV-00095,internal_medicine,NORTHEAST
PRV-00096,radiology,MIDWEST
PRV-00097,cardiology,SOUTH
PRV-00098,orthopedics,WEST
PRV-00099,neurology,PACIFIC
PRV-00100,family_medicine,NORTHEAST
PRV-00101,cardiology,NORTHEAST
PRV-00102,orthopedics,NORTHEAST
PRV-00103,cardiology,SOUTH
PRV-00104,dermatology,PACIFIC
PRV-00105,pediatrics,SOUTH
PRV-00106,pediatrics,MIDWEST
PRV-00107,radiology,SOUTH
PRV-00108,internal_medicine,WEST
PRV-00109,pediatrics,PACIFIC
PRV-00110,family_medicine,NORTHEAST
PRV-00111,family_medicine,SOUTH
PRV-00112,radiology,SOUTH
PRV-00113,neurology,SOUTH
PRV-00114,dermatology,PACIFIC
PRV-00115,radiology,SOUTH
PRV-00116,psychiatry,NORTHEAST
PRV-00117,general_surgery,MIDWEST
PRV-00118,emergency_medicine,MIDWEST
PRV-00119,pediatrics,SOUTH
PRV-00120,emergency_medicine,SOUTH
PRV-00121,internal_medicine,SOUTH
PRV-00122,radiology,SOUTH
PRV-00123,neurology,SOUTH
PRV-00124,orthopedics,NORTHEAST
PRV-00125,internal_medicine,PACIFIC
PRV-00126,cardiology,WEST
PRV-00127,internal_medicine,PACIFIC
PRV-00128,family_medicine,NORTHEAST
PRV-00129,orthopedics,NORTHEAST
PRV-00130,neurology,SOUTH
PRV-00131,anesthesiology,MIDWEST
PRV-00132,pediatrics,MIDWEST
PRV-00133,emergency_medicine,MIDWEST
PRV-00134,psychiatry,PACIFIC
PRV-00135,emergency_medicine,PACIFIC
PRV-00136,radiology,PACIFIC
PRV-00137,radiology,MIDWEST
PRV-00138,emergency_medicine,MIDWEST
PRV-00139,general_surgery,PACIFIC
PRV-00140,dermatology,PACIFIC
PRV-00141,cardiology,PACIFIC
PRV-00142,internal_medicine,SOUTH
PRV-00143,anesthesiology,PACIFIC
PRV-00144,psychiatry,NORTHEAST
PRV-00145,emergency_medicine,WEST
PRV-00146,anesthesiology,SOUTH
PRV-00147,family_medicine,NORTHEAST
PRV-00148,radiology,NORTHEAST
PRV-00149,orthopedics,NORTHEAST
PRV-00150,general_surgery,SOUTH
PRV-00151,dermatology,WEST
PRV-00152,pediatrics,MIDWEST
PRV-00153,dermatology,NORTHEAST
PRV-00154,emergency_medicine,SOUTH
PRV-00155,anesthesiology,SOUTH
PRV-00156,general_surgery,MIDWEST
PRV-00157,neurology,SOUTH
PRV-00158,pediatrics,MIDWEST
PRV-00159,internal_medicine,SOUTH
PRV-00160,neurology,SOUTH
PRV-00161,general_surgery,SOUTH
PRV-00162,neurology,PACIFIC
PRV-00163,anesthesiology,MIDWEST
PRV-00164,dermatology,MIDWEST
PRV-00165,radiology,SOUTH
PRV-00166,radiology,SOUTH
PRV-00167,cardiology,WEST
PRV-00168,pediatrics,MIDWEST
PRV-00169,anesthesiology,SOUTH
PRV-00170,emergency_medicine,MIDWEST
PRV-00171,dermatology,MIDWEST
PRV-00172,psychiatry,WEST
PRV-00173,emergency_medicine,MIDWEST
PRV-00174,psychiatry,WEST
PRV-00175,psychiatry,PACIFIC
PRV-00176,general_surgery,MIDWEST
PRV-00177,anesthesiology,PACIFIC
PRV-00178,general_surgery,NORTHEAST
PRV-00179,psychiatry,MIDWEST
PRV-00180,cardiology,PACIFIC
PRV-00181,orthopedics,PACIFIC
